SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
Supp. No. 3
540  4-13-21 Include 13
542  7-13-21 Omit 13
543  5-11-21 Include 13
544  5-11-21 Include 13
Supp. No. 14
548  7-13-21 Include 14
551  9-14-21 Omit 14
552  8-17-21 Include 14
553  8-17-21 Include 14
554  8-17-21 Include 14
555  7-16-21 Omit 14
556  9-14-21 Include 14
557  9-14-21 Include 14
558  9-14-21 Include 14
559  9-14-21 Include 14
560  9-14-21 Include 14
561 10-12-21 Include 14
562 11- 9-21 Omit 14
563  9-29-21 Omit 14
564 12-14-21 Omit 14
Supp. No. 15
567  3- 8-22 Include 15
568  4-12-22 Omit 15
569  4-12-22 Omit 15
570  4-12-22 Omit 15
571  4-12-22 Omit 15
572  5-10-22 Omit 15
573  5-10-22 Omit 15
574  6-14-22 Omit 15
575  7-12-22 Omit 15
576  7-12-22 Omit 15
577  7-25-22 Omit 15
