SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
2021-022  9-28-2021 Include 8
2021-024 12-26-2021 Include 8
2021-025 11- 9-2021 Include 8
2021-026 11- 9-2021 Include 8
2021-027 11- 9-2021 Include 8
2021-028 11- 9-2021 Include 8
2021-032 12-21-2021 Include 8
2021-034 12-21-2021 Include 8
2021-035 12-21-2021 Include 8
2021-036  2-21-2021 Include 8
2021-037  2-12-2021 Include 8
2021-038 12-21-2021 Include 8
2021-039 12-21-2021 Include 8
2021-040 12-21-2021 Include 8
2021-033 12-21-2021 Include 9
2022-003  1-25-2022 Include 9
2022-004  2-22-2022 Include 9
2022-006  3-22-2022 Omit 9
2022-007  3-22-2022 Include 9
2022-008  3-22-2022 Include 9
2022-009  3-22-2022 Include 9
2022-010  3-22-2022 Include 9
2022-011  4-26-2022 Omit 9
2022-013  4-26-2022 Include 9
2022-014  4-26-2022 Include 9
2022-015  5-25-2022 Include 9
2022-017  5-25-2022 Include 9
2022-018  5-25-2022 Include 9
2022-019  5-25-2022 Include 9
2022-021  6-14-2022 Include 9
2022-023  8-23-2022 Omit 9
2022-024  8-23-2022 Include 9
2022-025  8-23-2022 Include 9
2022-027  8-23-2022 Omit 9
2022-028  9-27-2022 Include 9
2022-031  9-27-2022 Include 9
2022-033  9-27-2022 Include 9
2022-034  9-27-2022 Include 9
2022-035  9-27-2022 Include 9
2022-036  9-27-2022 Include 9
2022-037 10-25-2022 Omit 9
2022-040 11-15-2022 Include 9
2023-003  2-28-2023 Include 10
2023-004  3-28-2023 Include 10
2023-005  3-28-2023 Include 10
2023-007  3-28-2023 Include 10
2023-009  4-25-2023 Include 10
2023-010  4-25-2023 Include 10
2023-011  4-25-2023 Include 10
2023-013  5-23-2023 Include 10
2023-014  5-23-2023 Include 10
2023-015  5-23-2023 Include 10
2023-016  5-23-2023 Include 10
