Word,NER,Sentence ID,Sentence,Document ID,Document
Ord,MISC,35,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03) Sec. 75-20. - Procedures and responsibilities.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
LEEDTM,MISC,38,The minimum number of credits required in each of the LEEDTM categories is 33 points so that projects demonstrate performance in all categories.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
Ord,MISC,39,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03) Sec. 75-21. - Budgeting and financing.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
LEEDTM,MISC,40,All capital construction which falls under this policy is required to budget LEEDTM design standards in the conceptual development of a city funded facility and/or the CDP/CIP process through the department of planning.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
LEEDTM Silver,MISC,41,Budget planning and life cycle cost analysis to achieve LEEDTM Silver rating is required.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
LEEDTM,MISC,43,LEEDTM training will be coordinated through the environmental manager and/or other sponsoring departments.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
Ord,MISC,44,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03) Sec. 75-23. - Request for proposal.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
Ord,MISC,46,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03) Sec. 75-24. - Implementation.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
CIP,MISC,47,"(a) The sustainable development design standards shall be forwarded to the department of planning and community development for review consistent with the above referenced policy objectives, and incorporated in the CDP and CIP process.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
CDP,MISC,49,The department of planning shall then compile all reports for inclusion into the CDP.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
City of,ORG,52,The City of Atlanta Sustainable Development Design Guidelines of achieving LEEDTM certified status shall not apply to current city facilities that have been proposed in the FY02-03 capital budget.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
Atlanta,LOC,52,The City of Atlanta Sustainable Development Design Guidelines of achieving LEEDTM certified status shall not apply to current city facilities that have been proposed in the FY02-03 capital budget.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
Sus,MISC,52,The City of Atlanta Sustainable Development Design Guidelines of achieving LEEDTM certified status shall not apply to current city facilities that have been proposed in the FY02-03 capital budget.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
Development Design Guidelines,MISC,52,The City of Atlanta Sustainable Development Design Guidelines of achieving LEEDTM certified status shall not apply to current city facilities that have been proposed in the FY02-03 capital budget.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
LEEDTM,MISC,52,The City of Atlanta Sustainable Development Design Guidelines of achieving LEEDTM certified status shall not apply to current city facilities that have been proposed in the FY02-03 capital budget.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
City of Atlanta,ORG,53,"However, these projects shall still implement City of Atlanta Sustainable Development Design Guidelines and strategies to the maximum extent practicable.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
Sus,MISC,53,"However, these projects shall still implement City of Atlanta Sustainable Development Design Guidelines and strategies to the maximum extent practicable.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
Development Design Guidelines,MISC,53,"However, these projects shall still implement City of Atlanta Sustainable Development Design Guidelines and strategies to the maximum extent practicable.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
City of Atlanta Sustainable Development Design Guidelines,MISC,56,"Even though projects may become exempt from the city's required sustainable development design guidelines, project managers and design teams are encouraged to apply the relevant portions of City of Atlanta Sustainable Development Design Guidelines and to develop goals that increase the environmental, social, and economic benefits of the project.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
LEEDTM Checklist,MISC,57,"In addition, all exempted projects shall complete the LEEDTM Checklist to assess any sustainable design techniques.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
LEEDTM,MISC,58,This LEEDTM project checklist will be submitted to the appropriate city department project manager and all measures implemented shall be described in the department's annual progress report.,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
Ord,MISC,59,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03) Sec. 75-26. - Facility design prerequisites.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
USGBC,ORG,60,"All city departments and offices and their contractors responsible for financing, planning, designing, developing, constructing and managing city-owned facilities and buildings shall include the following prerequisites when designing a facility (as consistent with the USGBC LEEDTM rating standards): (1) Compliance with Atlanta Code of Ordinances, Article II, Section 74-35, Erosion and Sedimentation Control.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
LEEDTM,MISC,60,"All city departments and offices and their contractors responsible for financing, planning, designing, developing, constructing and managing city-owned facilities and buildings shall include the following prerequisites when designing a facility (as consistent with the USGBC LEEDTM rating standards): (1) Compliance with Atlanta Code of Ordinances, Article II, Section 74-35, Erosion and Sedimentation Control.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
Atlanta Code of Ordinances,MISC,60,"All city departments and offices and their contractors responsible for financing, planning, designing, developing, constructing and managing city-owned facilities and buildings shall include the following prerequisites when designing a facility (as consistent with the USGBC LEEDTM rating standards): (1) Compliance with Atlanta Code of Ordinances, Article II, Section 74-35, Erosion and Sedimentation Control.",1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")"
Ord,MISC,3,"Footnotes: --- (1) --- Editor's note— Ord. No. 2003-108, § 2(Exh. A), approved Dec. 9, 2003, amended ch. 75 in its entirety to read as herein set out.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
Ord. No,MISC,4,"Formerly, said chapter pertained to similar subject matter as enacted by Ord. No. 2003-93, § 2(Exh. A), approved May 27, 2003.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
-93,MISC,4,"Formerly, said chapter pertained to similar subject matter as enacted by Ord. No. 2003-93, § 2(Exh. A), approved May 27, 2003.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
City,ORG,6,"(a) The City of Atlanta shall integrate green and/or sustainable building principles and practices into the design, construction, and operations of all city facilities, and city-funded projects to the fullest extent possible and at minimum to the extent described in section 75-19.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
of Atlanta,LOC,6,"(a) The City of Atlanta shall integrate green and/or sustainable building principles and practices into the design, construction, and operations of all city facilities, and city-funded projects to the fullest extent possible and at minimum to the extent described in section 75-19.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
Ord,MISC,11,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03; Ord. No. 2017-42(17-O-1218), § 1, 7-26-17 ) Secs. 75-2—75-15. - Reserved.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
No,MISC,11,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03; Ord. No. 2017-42(17-O-1218), § 1, 7-26-17 ) Secs. 75-2—75-15. - Reserved.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
Ord,MISC,11,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03; Ord. No. 2017-42(17-O-1218), § 1, 7-26-17 ) Secs. 75-2—75-15. - Reserved.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
City of Atlanta,ORG,13,"The purpose of the City of Atlanta's policy on sustainable building is to require the city's commitment to environmental, economic, and social stewardship, to yield cost savings to the city taxpayers through reduced operating costs, to provide healthy and productive work environments for staff and visitors, and to contribute to the city's goals of protecting, conserving, and enhancing the region's environmental resources.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
Ord,MISC,15,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03) Sec. 75-17. - Organizations affected.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
Ord,MISC,17,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03) Sec. 75-18. - Definitions.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
LEEDTM,MISC,25,"LEEDTMrating system: LEED TM stands for Leadership in Energy and Environmental Design, and is a voluntary, consensus-based, market-driven green building rating system developed by the U.S. Green Building Council (USGBC).",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
LEED TM,MISC,25,"LEEDTMrating system: LEED TM stands for Leadership in Energy and Environmental Design, and is a voluntary, consensus-based, market-driven green building rating system developed by the U.S. Green Building Council (USGBC).",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
Leadership in Energy and Environmental Design,MISC,25,"LEEDTMrating system: LEED TM stands for Leadership in Energy and Environmental Design, and is a voluntary, consensus-based, market-driven green building rating system developed by the U.S. Green Building Council (USGBC).",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
U,ORG,25,"LEEDTMrating system: LEED TM stands for Leadership in Energy and Environmental Design, and is a voluntary, consensus-based, market-driven green building rating system developed by the U.S. Green Building Council (USGBC).",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
S. Green Building Council,ORG,25,"LEEDTMrating system: LEED TM stands for Leadership in Energy and Environmental Design, and is a voluntary, consensus-based, market-driven green building rating system developed by the U.S. Green Building Council (USGBC).",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
USGBC,ORG,25,"LEEDTMrating system: LEED TM stands for Leadership in Energy and Environmental Design, and is a voluntary, consensus-based, market-driven green building rating system developed by the U.S. Green Building Council (USGBC).",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
LEED TM,MISC,27,"LEED TM is a third-party certifying system designed for rating new and existing commercial, institutional, and multi- family residential buildings.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
Ord,MISC,30,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03; Ord. No. 2017-42(17-O-1218), § 2, 7-26-17 ) Sec. 75-19. - Policy and goals.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
No,MISC,30,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03; Ord. No. 2017-42(17-O-1218), § 2, 7-26-17 ) Sec. 75-19. - Policy and goals.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
Ord,MISC,30,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03; Ord. No. 2017-42(17-O-1218), § 2, 7-26-17 ) Sec. 75-19. - Policy and goals.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
No,MISC,30,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03; Ord. No. 2017-42(17-O-1218), § 2, 7-26-17 ) Sec. 75-19. - Policy and goals.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
City,ORG,31,"(a) It is the policy of the City of Atlanta to finance, plan, design, construct, manage, renovate, maintain, and decommission its facilities and buildings using sustainable practices and means.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
of Atlanta,LOC,31,"(a) It is the policy of the City of Atlanta to finance, plan, design, construct, manage, renovate, maintain, and decommission its facilities and buildings using sustainable practices and means.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
LEED TM,MISC,33,(b) The LEED TM rating system and Reference Guide shall be used as a guidance for design and as a measuring tool to determine what constitutes sustainable building by national standards.,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
Guide,MISC,33,(b) The LEED TM rating system and Reference Guide shall be used as a guidance for design and as a measuring tool to determine what constitutes sustainable building by national standards.,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
LEED TM Silver,MISC,35,Design and project management teams are required to achieve LEED TM Silver Certification.,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
City,MISC,37,"At the time facilities are required to be audited and comply with retro commissioning requirements per Part 8, Chapter 2, Article J of the City's Land Development Code, Part III of the City of Atlanta Code of Ordinances, facilities shall obtain LEED TM Existing Buildings: Operation & Maintenance or the most recent equivalent.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
Land Development Code,MISC,37,"At the time facilities are required to be audited and comply with retro commissioning requirements per Part 8, Chapter 2, Article J of the City's Land Development Code, Part III of the City of Atlanta Code of Ordinances, facilities shall obtain LEED TM Existing Buildings: Operation & Maintenance or the most recent equivalent.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
City,MISC,37,"At the time facilities are required to be audited and comply with retro commissioning requirements per Part 8, Chapter 2, Article J of the City's Land Development Code, Part III of the City of Atlanta Code of Ordinances, facilities shall obtain LEED TM Existing Buildings: Operation & Maintenance or the most recent equivalent.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
of Atlanta,LOC,37,"At the time facilities are required to be audited and comply with retro commissioning requirements per Part 8, Chapter 2, Article J of the City's Land Development Code, Part III of the City of Atlanta Code of Ordinances, facilities shall obtain LEED TM Existing Buildings: Operation & Maintenance or the most recent equivalent.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
Code of Ordinances,MISC,37,"At the time facilities are required to be audited and comply with retro commissioning requirements per Part 8, Chapter 2, Article J of the City's Land Development Code, Part III of the City of Atlanta Code of Ordinances, facilities shall obtain LEED TM Existing Buildings: Operation & Maintenance or the most recent equivalent.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
LEED TM,MISC,37,"At the time facilities are required to be audited and comply with retro commissioning requirements per Part 8, Chapter 2, Article J of the City's Land Development Code, Part III of the City of Atlanta Code of Ordinances, facilities shall obtain LEED TM Existing Buildings: Operation & Maintenance or the most recent equivalent.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
Ord,MISC,38,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03; Ord. No. 2017-42(17-O-1218), § 3, 7-26-17 ) Sec. 75-20. - Procedures and responsibilities.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
No,MISC,38,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03; Ord. No. 2017-42(17-O-1218), § 3, 7-26-17 ) Sec. 75-20. - Procedures and responsibilities.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
Ord,MISC,38,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03; Ord. No. 2017-42(17-O-1218), § 3, 7-26-17 ) Sec. 75-20. - Procedures and responsibilities.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
No,MISC,38,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03; Ord. No. 2017-42(17-O-1218), § 3, 7-26-17 ) Sec. 75-20. - Procedures and responsibilities.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
LEED TM,MISC,42,(c) The commissioners of all city departments or their designee(s) are responsible for completing LEED TM training.,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
Ord,MISC,43,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03; Ord. No. 2017-42(17-O-1218), § 4, 7-26-17 ) Sec. 75-21. - Budgeting and financing.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
No,MISC,43,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03; Ord. No. 2017-42(17-O-1218), § 4, 7-26-17 ) Sec. 75-21. - Budgeting and financing.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
Ord,MISC,43,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03; Ord. No. 2017-42(17-O-1218), § 4, 7-26-17 ) Sec. 75-21. - Budgeting and financing.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
No,MISC,43,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03; Ord. No. 2017-42(17-O-1218), § 4, 7-26-17 ) Sec. 75-21. - Budgeting and financing.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
LEED TM,MISC,44,All capital construction which falls under this policy is required to budget LEED TM design standards in the conceptual development of a city funded facility and/or the CDP/CIP process through the department of planning.,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
LEED TM Silver Certifica,MISC,45,Budget planning and life cycle cost analysis to achieve LEED TM Silver Certification and LEED TM Existing Buildings: Operations & Maintenance Certification is required.,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
LEED TM Exist,MISC,45,Budget planning and life cycle cost analysis to achieve LEED TM Silver Certification and LEED TM Existing Buildings: Operations & Maintenance Certification is required.,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
Buildings,MISC,45,Budget planning and life cycle cost analysis to achieve LEED TM Silver Certification and LEED TM Existing Buildings: Operations & Maintenance Certification is required.,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
Certification,MISC,45,Budget planning and life cycle cost analysis to achieve LEED TM Silver Certification and LEED TM Existing Buildings: Operations & Maintenance Certification is required.,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
Ord,MISC,46,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03; Ord. No. 2017-42(17-O-1218), § 5, 7-26-17 ) Sec. 75-22. - Training.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
No,MISC,46,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03; Ord. No. 2017-42(17-O-1218), § 5, 7-26-17 ) Sec. 75-22. - Training.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
Ord,MISC,46,"(Ord. No. 2003-108, § 2(Exh. A), 12-9-03; Ord. No. 2017-42(17-O-1218), § 5, 7-26-17 ) Sec. 75-22. - Training.",2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
LEED TM,MISC,47,LEED TM training will be coordinated through the office of buildings or designee and/or other sponsoring departments.,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")"
