Column header,Document ID,Document,Count,Mean,Mode,Median,Standard deviation,Minimum,Maximum,Skewness,Kurtosis,25% quantile,50% quantile,75% quantile
Number of Sentences in Document,30,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.08-CHILDREN'S_CAMPS.txt"")",58,58.0,58,58.0,,58,58,,,58.0,58.0,58.0
Number of Sentences in Document,31,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.10-FOOD_DEMONSTRATORS.txt"")",82,82.0,82,82.0,,82,82,,,82.0,82.0,82.0
Number of Sentences in Document,32,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.11-WHOLESALE_FOOD_SAFETY_CERTIFICATION.txt"")",97,97.0,97,97.0,,97,97,,,97.0,97.0,97.0
Number of Sentences in Document,33,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.12-WHOLESALE_FOOD_ESTABLISHMENTS.txt"")",391,391.0,391,391.0,,391,391,,,391.0,391.0,391.0
Number of Sentences in Document,34,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.13-INDEPENDENT_WHOLESALE_VEHICLES.txt"")",49,49.0,49,49.0,,49,49,,,49.0,49.0,49.0
Number of Sentences in Document,35,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.14-FOOD_VENDING_MACHINES.txt"")",15,15.0,15,15.0,,15,15,,,15.0,15.0,15.0
Number of Sentences in Document,36,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.15-NONSMOKING_AREAS_IN_EATING_ESTABLISHMENTS.txt"")",23,23.0,23,23.0,,23,23,,,23.0,23.0,23.0
Number of Sentences in Document,37,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.16-GARBAGE_AND_OTHER_WASTE_MATERIAL.txt"")",62,62.0,62,62.0,,62,62,,,62.0,62.0,62.0
Number of Sentences in Document,38,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.19-ALCOHOLIC_BEVERAGE_WARNING_SIGNS.txt"")",22,22.0,22,22.0,,22,22,,,22.0,22.0,22.0
Number of Sentences in Document,39,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.20-HOUSING.txt"")",281,281.0,281,281.0,,281,281,,,281.0,281.0,281.0
Number of Sentences in Document,40,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.24-INSTITUTIONS*.txt"")",299,299.0,299,299.0,,299,299,,,299.0,299.0,299.0
Number of Sentences in Document,41,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.26-LAUNDRIES.txt"")",40,40.0,40,40.0,,40,40,,,40.0,40.0,40.0
Number of Sentences in Document,42,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.28-LEAD_HAZARDS.txt"")",41,41.0,41,41.0,,41,41,,,41.0,41.0,41.0
Number of Sentences in Document,43,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.30-RODENT_AND_PEST_CONTROL.txt"")",49,49.0,49,49.0,,49,49,,,49.0,49.0,49.0
Number of Sentences in Document,44,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.32-SWIMMING_POOLS_AND_OTHER_WATER_AREAS.txt"")",167,167.0,167,167.0,,167,167,,,167.0,167.0,167.0
Number of Sentences in Document,45,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.34-SWIMMING_POOL_SERVICES.txt"")",194,194.0,194,194.0,,194,194,,,194.0,194.0,194.0
Number of Sentences in Document,46,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.35-TOBACCO_RETAILING.txt"")",134,134.0,134,134.0,,134,134,,,134.0,134.0,134.0
Number of Sentences in Document,47,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.38-WATER_AND_SEWERS.txt"")",524,524.0,524,524.0,,524,524,,,524.0,524.0,524.0
Number of Sentences in Document,48,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.39-ADULT_FILMS;_SHORT_TITLE_AND_PUBLIC_POLICY.txt"")",124,124.0,124,124.0,,124,124,,,124.0,124.0,124.0
Number of Sentences in Document,49,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_2-GENERAL_HAZARDS.txt"")",360,360.0,360,360.0,,360,360,,,360.0,360.0,360.0
Number of Sentences in Document,50,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.58-ELECTRICAL_MATERIALS_AND_APPLIANCES.txt"")",85,85.0,85,85.0,,85,85,,,85.0,85.0,85.0
Number of Sentences in Document,51,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.59-INDIGENT_HEALTH_CARE_FACILITIES_UPGRADE.txt"")",28,28.0,28,28.0,,28,28,,,28.0,28.0,28.0
Number of Sentences in Document,52,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.60-FLOODWAYS_AND_WATER_SURFACE_ELEVATIONS.txt"")",55,55.0,55,55.0,,55,55,,,55.0,55.0,55.0
Number of Sentences in Document,53,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.62-SMALL_DAMS.txt"")",166,166.0,166,166.0,,166,166,,,166.0,166.0,166.0
Number of Sentences in Document,54,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.64-SMOKING.txt"")",67,67.0,67,67.0,,67,67,,,67.0,67.0,67.0
Number of Sentences in Document,55,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.65-EPHEDRINE,_PSEUDOEPHEDRINE_AND_PHENYLPROPANOLAMINE_RECORDS_AND_STORAGE.txt"")",20,20.0,20,20.0,,20,20,,,20.0,20.0,20.0
Number of Sentences in Document,56,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.66-MEDICAL_MARIJUANA_PROGRAM_IDENTIFICATION_CARD.txt"")",24,24.0,24,24.0,,24,24,,,24.0,24.0,24.0
Number of Sentences in Document,57,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.68-TRANSPORT_OF_HYDROCYANIC_ACID.txt"")",19,19.0,19,19.0,,19,19,,,19.0,19.0,19.0
Number of Sentences in Document,58,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.69-METALLIC_BALLOONS.txt"")",17,17.0,17,17.0,,17,17,,,17.0,17.0,17.0
Number of Sentences in Document,59,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.70-DEFINITIONS.txt"")",135,135.0,135,135.0,,135,135,,,135.0,135.0,135.0
Number of Sentences in Document,60,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.72-GENERAL_PROVISIONS.txt"")",68,68.0,68,68.0,,68,68,,,68.0,68.0,68.0
Number of Sentences in Document,61,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.74-STANDARDS.txt"")",117,117.0,117,117.0,,117,117,,,117.0,117.0,117.0
Number of Sentences in Document,62,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.76-UNAUTHORIZED_RELEASE_OF_HAZARDOUS_SUBSTANCES.txt"")",55,55.0,55,55.0,,55,55,,,55.0,55.0,55.0
Number of Sentences in Document,63,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.78-INSPECTIONS_AND_RECORDS.txt"")",49,49.0,49,49.0,,49,49,,,49.0,49.0,49.0
Number of Sentences in Document,64,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.80-PERMITS.txt"")",134,134.0,134,134.0,,134,134,,,134.0,134.0,134.0
Number of Sentences in Document,65,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.82-FEES_AND_DEPOSITS.txt"")",178,178.0,178,178.0,,178,178,,,178.0,178.0,178.0
Number of Sentences in Document,66,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.84-ADMINISTRATIVE_ACTION.txt"")",84,84.0,84,84.0,,84,84,,,84.0,84.0,84.0
Number of Sentences in Document,67,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.86-ENFORCEMENT.txt"")",51,51.0,51,51.0,,51,51,,,51.0,51.0,51.0
Number of Sentences in Document,68,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.88-MISCELLANEOUS.txt"")",1352,1352.0,1352,1352.0,,1352,1352,,,1352.0,1352.0,1352.0
Number of Sentences in Document,69,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.04-ENVIRONMENTAL_DOCUMENTS*.txt"")",70,70.0,70,70.0,,70,70,,,70.0,70.0,70.0
Number of Sentences in Document,70,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.08-NOISE_CONTROL.txt"")",567,567.0,567,567.0,,567,567,,,567.0,567.0,567.0
Number of Sentences in Document,71,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.12-BUILDING_CONSTRUCTION_NOISE.txt"")",46,46.0,46,46.0,,46,46,,,46.0,46.0,46.0
Number of Sentences in Document,72,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.16-COASTAL_COMMISSION_ADMINISTRATIVE_REGULATIONS.txt"")",6,6.0,6,6.0,,6,6,,,6.0,6.0,6.0
Number of Sentences in Document,73,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.20-DEPOSITING_PETROLEUM_PRODUCTS_ON_BEACHES_OR_INTO_PACIFIC_OCEAN.txt"")",20,20.0,20,20.0,,20,20,,,20.0,20.0,20.0
Number of Sentences in Document,74,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.24-INSECTICIDES_AND_PESTICIDES.txt"")",36,36.0,36,36.0,,36,36,,,36.0,36.0,36.0
Number of Sentences in Document,75,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.28-BRUSH_AND_VEGETATION.txt"")",57,57.0,57,57.0,,57,57,,,57.0,57.0,57.0
Number of Sentences in Document,76,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.32-CONTROL_OF_HAZARDOUS_DUST_CONDITIONS.txt"")",38,38.0,38,38.0,,38,38,,,38.0,38.0,38.0
Number of Sentences in Document,77,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.36-WILDFLOWERS.txt"")",39,39.0,39,39.0,,39,39,,,39.0,39.0,39.0
Number of Sentences in Document,78,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.40-ELECTRICAL_USE_RESTRICTIONS_IN_POWER_SHORTAGES.txt"")",31,31.0,31,31.0,,31,31,,,31.0,31.0,31.0
Number of Sentences in Document,79,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.44-OUTDOOR_LIGHTING_USING_NATURAL_GAS.txt"")",14,14.0,14,14.0,,14,14,,,14.0,14.0,14.0
Number of Sentences in Document,80,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.48-SOLID_WASTE_DISPOSAL.txt"")",37,37.0,37,37.0,,37,37,,,37.0,37.0,37.0
Number of Sentences in Document,81,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.50-UNIFIED_PROGRAM.txt"")",269,269.0,269,269.0,,269,269,,,269.0,269.0,269.0
Number of Sentences in Document,82,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.52-HAZARDOUS_WASTE_CONTROL.txt"")",247,247.0,247,247.0,,247,247,,,247.0,247.0,247.0
Number of Sentences in Document,83,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.56-HAZARDOUS_MATERIALS—EMERGENCY_RESPONSE_COST_RECOVERY.txt"")",129,129.0,129,129.0,,129,129,,,129.0,129.0,129.0
Number of Sentences in Document,84,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.64-HAZARDOUS_MATERIALS_DISCLOSURE_AND_RISK_MANAGEMENT.txt"")",216,216.0,216,216.0,,216,216,,,216.0,216.0,216.0
Number of Sentences in Document,85,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.70-ABOVEGROUND_PETROLEUM_STORAGE.txt"")",110,110.0,110,110.0,,110,110,,,110.0,110.0,110.0
