Column header,Document ID,Document,Count,Mean,Mode,Median,Standard deviation,Minimum,Maximum,Skewness,Kurtosis,25% quantile,50% quantile,75% quantile
Number of Words in Document,39,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.20-HOUSING.txt"")",3948,3948.0,3948,3948.0,,3948,3948,,,3948.0,3948.0,3948.0
Number of Words in Document,40,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.24-INSTITUTIONS*.txt"")",4062,4062.0,4062,4062.0,,4062,4062,,,4062.0,4062.0,4062.0
Number of Words in Document,41,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.26-LAUNDRIES.txt"")",676,676.0,676,676.0,,676,676,,,676.0,676.0,676.0
Number of Words in Document,42,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.28-LEAD_HAZARDS.txt"")",749,749.0,749,749.0,,749,749,,,749.0,749.0,749.0
Number of Words in Document,43,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.30-RODENT_AND_PEST_CONTROL.txt"")",768,768.0,768,768.0,,768,768,,,768.0,768.0,768.0
Number of Words in Document,44,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.32-SWIMMING_POOLS_AND_OTHER_WATER_AREAS.txt"")",2703,2703.0,2703,2703.0,,2703,2703,,,2703.0,2703.0,2703.0
Number of Words in Document,45,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.34-SWIMMING_POOL_SERVICES.txt"")",2399,2399.0,2399,2399.0,,2399,2399,,,2399.0,2399.0,2399.0
Number of Words in Document,46,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.35-TOBACCO_RETAILING.txt"")",2658,2658.0,2658,2658.0,,2658,2658,,,2658.0,2658.0,2658.0
Number of Words in Document,47,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.38-WATER_AND_SEWERS.txt"")",8760,8760.0,8760,8760.0,,8760,8760,,,8760.0,8760.0,8760.0
Number of Words in Document,48,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.39-ADULT_FILMS;_SHORT_TITLE_AND_PUBLIC_POLICY.txt"")",2798,2798.0,2798,2798.0,,2798,2798,,,2798.0,2798.0,2798.0
Number of Words in Document,49,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_2-GENERAL_HAZARDS.txt"")",5652,5652.0,5652,5652.0,,5652,5652,,,5652.0,5652.0,5652.0
Number of Words in Document,50,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.58-ELECTRICAL_MATERIALS_AND_APPLIANCES.txt"")",1684,1684.0,1684,1684.0,,1684,1684,,,1684.0,1684.0,1684.0
Number of Words in Document,51,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.59-INDIGENT_HEALTH_CARE_FACILITIES_UPGRADE.txt"")",584,584.0,584,584.0,,584,584,,,584.0,584.0,584.0
Number of Words in Document,52,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.60-FLOODWAYS_AND_WATER_SURFACE_ELEVATIONS.txt"")",613,613.0,613,613.0,,613,613,,,613.0,613.0,613.0
Number of Words in Document,53,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.62-SMALL_DAMS.txt"")",3491,3491.0,3491,3491.0,,3491,3491,,,3491.0,3491.0,3491.0
Number of Words in Document,54,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.64-SMOKING.txt"")",1230,1230.0,1230,1230.0,,1230,1230,,,1230.0,1230.0,1230.0
Number of Words in Document,55,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.65-EPHEDRINE,_PSEUDOEPHEDRINE_AND_PHENYLPROPANOLAMINE_RECORDS_AND_STORAGE.txt"")",384,384.0,384,384.0,,384,384,,,384.0,384.0,384.0
Number of Words in Document,56,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.66-MEDICAL_MARIJUANA_PROGRAM_IDENTIFICATION_CARD.txt"")",390,390.0,390,390.0,,390,390,,,390.0,390.0,390.0
Number of Words in Document,57,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.68-TRANSPORT_OF_HYDROCYANIC_ACID.txt"")",536,536.0,536,536.0,,536,536,,,536.0,536.0,536.0
Number of Words in Document,58,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.69-METALLIC_BALLOONS.txt"")",312,312.0,312,312.0,,312,312,,,312.0,312.0,312.0
Number of Words in Document,59,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.70-DEFINITIONS.txt"")",1763,1763.0,1763,1763.0,,1763,1763,,,1763.0,1763.0,1763.0
Number of Words in Document,60,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.72-GENERAL_PROVISIONS.txt"")",885,885.0,885,885.0,,885,885,,,885.0,885.0,885.0
Number of Words in Document,61,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.74-STANDARDS.txt"")",1875,1875.0,1875,1875.0,,1875,1875,,,1875.0,1875.0,1875.0
Number of Words in Document,62,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.76-UNAUTHORIZED_RELEASE_OF_HAZARDOUS_SUBSTANCES.txt"")",1031,1031.0,1031,1031.0,,1031,1031,,,1031.0,1031.0,1031.0
Number of Words in Document,63,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.78-INSPECTIONS_AND_RECORDS.txt"")",783,783.0,783,783.0,,783,783,,,783.0,783.0,783.0
Number of Words in Document,64,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.80-PERMITS.txt"")",1689,1689.0,1689,1689.0,,1689,1689,,,1689.0,1689.0,1689.0
Number of Words in Document,65,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.82-FEES_AND_DEPOSITS.txt"")",2135,2135.0,2135,2135.0,,2135,2135,,,2135.0,2135.0,2135.0
Number of Words in Document,66,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.84-ADMINISTRATIVE_ACTION.txt"")",1388,1388.0,1388,1388.0,,1388,1388,,,1388.0,1388.0,1388.0
Number of Words in Document,67,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.86-ENFORCEMENT.txt"")",1065,1065.0,1065,1065.0,,1065,1065,,,1065.0,1065.0,1065.0
Number of Words in Document,68,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.88-MISCELLANEOUS.txt"")",19086,19086.0,19086,19086.0,,19086,19086,,,19086.0,19086.0,19086.0
Number of Words in Document,69,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.04-ENVIRONMENTAL_DOCUMENTS*.txt"")",1150,1150.0,1150,1150.0,,1150,1150,,,1150.0,1150.0,1150.0
Number of Words in Document,70,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.08-NOISE_CONTROL.txt"")",6863,6863.0,6863,6863.0,,6863,6863,,,6863.0,6863.0,6863.0
Number of Words in Document,71,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.12-BUILDING_CONSTRUCTION_NOISE.txt"")",833,833.0,833,833.0,,833,833,,,833.0,833.0,833.0
Number of Words in Document,72,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.16-COASTAL_COMMISSION_ADMINISTRATIVE_REGULATIONS.txt"")",63,63.0,63,63.0,,63,63,,,63.0,63.0,63.0
Number of Words in Document,73,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.20-DEPOSITING_PETROLEUM_PRODUCTS_ON_BEACHES_OR_INTO_PACIFIC_OCEAN.txt"")",1020,1020.0,1020,1020.0,,1020,1020,,,1020.0,1020.0,1020.0
Number of Words in Document,74,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.24-INSECTICIDES_AND_PESTICIDES.txt"")",643,643.0,643,643.0,,643,643,,,643.0,643.0,643.0
Number of Words in Document,75,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.28-BRUSH_AND_VEGETATION.txt"")",1148,1148.0,1148,1148.0,,1148,1148,,,1148.0,1148.0,1148.0
Number of Words in Document,76,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.32-CONTROL_OF_HAZARDOUS_DUST_CONDITIONS.txt"")",776,776.0,776,776.0,,776,776,,,776.0,776.0,776.0
Number of Words in Document,77,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.36-WILDFLOWERS.txt"")",512,512.0,512,512.0,,512,512,,,512.0,512.0,512.0
Number of Words in Document,78,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.40-ELECTRICAL_USE_RESTRICTIONS_IN_POWER_SHORTAGES.txt"")",492,492.0,492,492.0,,492,492,,,492.0,492.0,492.0
Number of Words in Document,79,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.44-OUTDOOR_LIGHTING_USING_NATURAL_GAS.txt"")",201,201.0,201,201.0,,201,201,,,201.0,201.0,201.0
Number of Words in Document,80,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.48-SOLID_WASTE_DISPOSAL.txt"")",444,444.0,444,444.0,,444,444,,,444.0,444.0,444.0
Number of Words in Document,81,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.50-UNIFIED_PROGRAM.txt"")",4771,4771.0,4771,4771.0,,4771,4771,,,4771.0,4771.0,4771.0
Number of Words in Document,82,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.52-HAZARDOUS_WASTE_CONTROL.txt"")",4078,4078.0,4078,4078.0,,4078,4078,,,4078.0,4078.0,4078.0
Number of Words in Document,83,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.56-HAZARDOUS_MATERIALS—EMERGENCY_RESPONSE_COST_RECOVERY.txt"")",2909,2909.0,2909,2909.0,,2909,2909,,,2909.0,2909.0,2909.0
Number of Words in Document,84,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.64-HAZARDOUS_MATERIALS_DISCLOSURE_AND_RISK_MANAGEMENT.txt"")",3801,3801.0,3801,3801.0,,3801,3801,,,3801.0,3801.0,3801.0
