Column header,Document ID,Document,Count,Mean,Mode,Median,Standard deviation,Minimum,Maximum,Skewness,Kurtosis,25% quantile,50% quantile,75% quantile
Number of Syllables in Document,11,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.23-NUISANCE_ABATEMENT_ORDINANCE.txt"")",1284,1284.0,1284,1284.0,,1284,1284,,,1284.0,1284.0,1284.0
Number of Syllables in Document,12,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.24-GENERAL_PENALTY*.txt"")",598,598.0,598,598.0,,598,598,,,598.0,598.0,598.0
Number of Syllables in Document,13,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.25-ADMINISTRATIVE_FINES_AND_NONCOMPLIANCE_FEES_FOR_CODE_VIOLATIONS.txt"")",7194,7194.0,7194,7194.0,,7194,7194,,,7194.0,7194.0,7194.0
Number of Syllables in Document,14,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.04-GENERAL_PROVISIONS*.txt"")",690,690.0,690,690.0,,690,690,,,690.0,690.0,690.0
Number of Syllables in Document,15,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.08-DEFINITIONS.txt"")",2371,2371.0,2371,2371.0,,2371,2371,,,2371.0,2371.0,2371.0
Number of Syllables in Document,16,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.12-DEPARTMENT_OF_ANIMAL_CARE_AND_CONTROL*.txt"")",3738,3738.0,3738,3738.0,,3738,3738,,,3738.0,3738.0,3738.0
Number of Syllables in Document,17,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.16-DEPARTMENT_OF_ANIMAL_CARE_AND_CONTROL_VOLUNTEER_PROGRAM.txt"")",827,827.0,827,827.0,,827,827,,,827.0,827.0,827.0
Number of Syllables in Document,18,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.20-DOGS_AND_CATS*.txt"")",9064,9064.0,9064,9064.0,,9064,9064,,,9064.0,9064.0,9064.0
Number of Syllables in Document,19,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.28-OTHER_LICENSES.txt"")",5128,5128.0,5128,5128.0,,5128,5128,,,5128.0,5128.0,5128.0
Number of Syllables in Document,20,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.32-ANIMALS_RUNNING_AT_LARGE.txt"")",1516,1516.0,1516,1516.0,,1516,1516,,,1516.0,1516.0,1516.0
Number of Syllables in Document,21,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.36-IMPOUNDMENT*.txt"")",4548,4548.0,4548,4548.0,,4548,4548,,,4548.0,4548.0,4548.0
Number of Syllables in Document,22,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.37-POTENTIALLY_DANGEROUS_AND_VICIOUS_DOGS.txt"")",6334,6334.0,6334,6334.0,,6334,6334,,,6334.0,6334.0,6334.0
Number of Syllables in Document,23,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.39-RODEOS.txt"")",298,298.0,298,298.0,,298,298,,,298.0,298.0,298.0
Number of Syllables in Document,24,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.40-GENERAL_REQUIREMENTS.txt"")",6006,6006.0,6006,6006.0,,6006,6006,,,6006.0,6006.0,6006.0
Number of Syllables in Document,25,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_2-ANIMAL_HEALTH.txt"")",7380,7380.0,7380,7380.0,,7380,7380,,,7380.0,7380.0,7380.0
Number of Syllables in Document,26,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_3-MISCELLANEOUS_REGULATIONS.txt"")",3539,3539.0,3539,3539.0,,3539,3539,,,3539.0,3539.0,3539.0
Number of Syllables in Document,27,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.02-GENERAL_PROVISIONS_AND_DEFINITIONS.txt"")",4077,4077.0,4077,4077.0,,4077,4077,,,4077.0,4077.0,4077.0
Number of Syllables in Document,28,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.04-COMMUNICABLE_DISEASE_CONTROL.txt"")",11735,11735.0,11735,11735.0,,11735,11735,,,11735.0,11735.0,11735.0
Number of Syllables in Document,29,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.06-PERMITS_AND_SPECIAL_SERVICE_FEES.txt"")",122,122.0,122,122.0,,122,122,,,122.0,122.0,122.0
Number of Syllables in Document,30,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.08-CHILDREN'S_CAMPS.txt"")",1150,1150.0,1150,1150.0,,1150,1150,,,1150.0,1150.0,1150.0
Number of Syllables in Document,31,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.10-FOOD_DEMONSTRATORS.txt"")",1203,1203.0,1203,1203.0,,1203,1203,,,1203.0,1203.0,1203.0
Number of Syllables in Document,32,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.11-WHOLESALE_FOOD_SAFETY_CERTIFICATION.txt"")",2931,2931.0,2931,2931.0,,2931,2931,,,2931.0,2931.0,2931.0
Number of Syllables in Document,33,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.12-WHOLESALE_FOOD_ESTABLISHMENTS.txt"")",14002,14002.0,14002,14002.0,,14002,14002,,,14002.0,14002.0,14002.0
Number of Syllables in Document,34,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.13-INDEPENDENT_WHOLESALE_VEHICLES.txt"")",1596,1596.0,1596,1596.0,,1596,1596,,,1596.0,1596.0,1596.0
Number of Syllables in Document,35,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.14-FOOD_VENDING_MACHINES.txt"")",384,384.0,384,384.0,,384,384,,,384.0,384.0,384.0
Number of Syllables in Document,36,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.15-NONSMOKING_AREAS_IN_EATING_ESTABLISHMENTS.txt"")",733,733.0,733,733.0,,733,733,,,733.0,733.0,733.0
Number of Syllables in Document,37,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.16-GARBAGE_AND_OTHER_WASTE_MATERIAL.txt"")",1485,1485.0,1485,1485.0,,1485,1485,,,1485.0,1485.0,1485.0
Number of Syllables in Document,38,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.19-ALCOHOLIC_BEVERAGE_WARNING_SIGNS.txt"")",769,769.0,769,769.0,,769,769,,,769.0,769.0,769.0
Number of Syllables in Document,39,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.20-HOUSING.txt"")",5909,5909.0,5909,5909.0,,5909,5909,,,5909.0,5909.0,5909.0
Number of Syllables in Document,40,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.24-INSTITUTIONS*.txt"")",6031,6031.0,6031,6031.0,,6031,6031,,,6031.0,6031.0,6031.0
Number of Syllables in Document,41,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.26-LAUNDRIES.txt"")",1023,1023.0,1023,1023.0,,1023,1023,,,1023.0,1023.0,1023.0
Number of Syllables in Document,42,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.28-LEAD_HAZARDS.txt"")",1208,1208.0,1208,1208.0,,1208,1208,,,1208.0,1208.0,1208.0
Number of Syllables in Document,43,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.30-RODENT_AND_PEST_CONTROL.txt"")",1193,1193.0,1193,1193.0,,1193,1193,,,1193.0,1193.0,1193.0
Number of Syllables in Document,44,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.32-SWIMMING_POOLS_AND_OTHER_WATER_AREAS.txt"")",4098,4098.0,4098,4098.0,,4098,4098,,,4098.0,4098.0,4098.0
Number of Syllables in Document,45,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.34-SWIMMING_POOL_SERVICES.txt"")",3934,3934.0,3934,3934.0,,3934,3934,,,3934.0,3934.0,3934.0
Number of Syllables in Document,46,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.35-TOBACCO_RETAILING.txt"")",4532,4532.0,4532,4532.0,,4532,4532,,,4532.0,4532.0,4532.0
Number of Syllables in Document,47,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.38-WATER_AND_SEWERS.txt"")",13751,13751.0,13751,13751.0,,13751,13751,,,13751.0,13751.0,13751.0
Number of Syllables in Document,48,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.39-ADULT_FILMS;_SHORT_TITLE_AND_PUBLIC_POLICY.txt"")",4655,4655.0,4655,4655.0,,4655,4655,,,4655.0,4655.0,4655.0
Number of Syllables in Document,49,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_2-GENERAL_HAZARDS.txt"")",8323,8323.0,8323,8323.0,,8323,8323,,,8323.0,8323.0,8323.0
Number of Syllables in Document,50,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.58-ELECTRICAL_MATERIALS_AND_APPLIANCES.txt"")",2981,2981.0,2981,2981.0,,2981,2981,,,2981.0,2981.0,2981.0
Number of Syllables in Document,51,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.59-INDIGENT_HEALTH_CARE_FACILITIES_UPGRADE.txt"")",991,991.0,991,991.0,,991,991,,,991.0,991.0,991.0
Number of Syllables in Document,52,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.60-FLOODWAYS_AND_WATER_SURFACE_ELEVATIONS.txt"")",884,884.0,884,884.0,,884,884,,,884.0,884.0,884.0
Number of Syllables in Document,53,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.62-SMALL_DAMS.txt"")",5478,5478.0,5478,5478.0,,5478,5478,,,5478.0,5478.0,5478.0
Number of Syllables in Document,54,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.64-SMOKING.txt"")",1971,1971.0,1971,1971.0,,1971,1971,,,1971.0,1971.0,1971.0
Number of Syllables in Document,55,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.65-EPHEDRINE,_PSEUDOEPHEDRINE_AND_PHENYLPROPANOLAMINE_RECORDS_AND_STORAGE.txt"")",584,584.0,584,584.0,,584,584,,,584.0,584.0,584.0
Number of Syllables in Document,56,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.66-MEDICAL_MARIJUANA_PROGRAM_IDENTIFICATION_CARD.txt"")",713,713.0,713,713.0,,713,713,,,713.0,713.0,713.0
Number of Syllables in Document,57,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.68-TRANSPORT_OF_HYDROCYANIC_ACID.txt"")",828,828.0,828,828.0,,828,828,,,828.0,828.0,828.0
Number of Syllables in Document,58,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.69-METALLIC_BALLOONS.txt"")",469,469.0,469,469.0,,469,469,,,469.0,469.0,469.0
Number of Syllables in Document,59,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.70-DEFINITIONS.txt"")",2904,2904.0,2904,2904.0,,2904,2904,,,2904.0,2904.0,2904.0
Number of Syllables in Document,60,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.72-GENERAL_PROVISIONS.txt"")",1426,1426.0,1426,1426.0,,1426,1426,,,1426.0,1426.0,1426.0
Number of Syllables in Document,61,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.74-STANDARDS.txt"")",3139,3139.0,3139,3139.0,,3139,3139,,,3139.0,3139.0,3139.0
Number of Syllables in Document,62,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.76-UNAUTHORIZED_RELEASE_OF_HAZARDOUS_SUBSTANCES.txt"")",1734,1734.0,1734,1734.0,,1734,1734,,,1734.0,1734.0,1734.0
Number of Syllables in Document,63,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.78-INSPECTIONS_AND_RECORDS.txt"")",1275,1275.0,1275,1275.0,,1275,1275,,,1275.0,1275.0,1275.0
Number of Syllables in Document,64,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.80-PERMITS.txt"")",2652,2652.0,2652,2652.0,,2652,2652,,,2652.0,2652.0,2652.0
Number of Syllables in Document,65,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.82-FEES_AND_DEPOSITS.txt"")",3350,3350.0,3350,3350.0,,3350,3350,,,3350.0,3350.0,3350.0
Number of Syllables in Document,66,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.84-ADMINISTRATIVE_ACTION.txt"")",2365,2365.0,2365,2365.0,,2365,2365,,,2365.0,2365.0,2365.0
Number of Syllables in Document,67,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.86-ENFORCEMENT.txt"")",1774,1774.0,1774,1774.0,,1774,1774,,,1774.0,1774.0,1774.0
Number of Syllables in Document,68,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.88-MISCELLANEOUS.txt"")",32444,32444.0,32444,32444.0,,32444,32444,,,32444.0,32444.0,32444.0
Number of Syllables in Document,69,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.04-ENVIRONMENTAL_DOCUMENTS*.txt"")",1922,1922.0,1922,1922.0,,1922,1922,,,1922.0,1922.0,1922.0
Number of Syllables in Document,70,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.08-NOISE_CONTROL.txt"")",11032,11032.0,11032,11032.0,,11032,11032,,,11032.0,11032.0,11032.0
Number of Syllables in Document,71,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.12-BUILDING_CONSTRUCTION_NOISE.txt"")",1343,1343.0,1343,1343.0,,1343,1343,,,1343.0,1343.0,1343.0
Number of Syllables in Document,72,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.16-COASTAL_COMMISSION_ADMINISTRATIVE_REGULATIONS.txt"")",113,113.0,113,113.0,,113,113,,,113.0,113.0,113.0
Number of Syllables in Document,73,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.20-DEPOSITING_PETROLEUM_PRODUCTS_ON_BEACHES_OR_INTO_PACIFIC_OCEAN.txt"")",1652,1652.0,1652,1652.0,,1652,1652,,,1652.0,1652.0,1652.0
Number of Syllables in Document,74,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.24-INSECTICIDES_AND_PESTICIDES.txt"")",1024,1024.0,1024,1024.0,,1024,1024,,,1024.0,1024.0,1024.0
Number of Syllables in Document,75,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.28-BRUSH_AND_VEGETATION.txt"")",1817,1817.0,1817,1817.0,,1817,1817,,,1817.0,1817.0,1817.0
Number of Syllables in Document,76,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.32-CONTROL_OF_HAZARDOUS_DUST_CONDITIONS.txt"")",1279,1279.0,1279,1279.0,,1279,1279,,,1279.0,1279.0,1279.0
Number of Syllables in Document,77,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.36-WILDFLOWERS.txt"")",712,712.0,712,712.0,,712,712,,,712.0,712.0,712.0
Number of Syllables in Document,78,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.40-ELECTRICAL_USE_RESTRICTIONS_IN_POWER_SHORTAGES.txt"")",826,826.0,826,826.0,,826,826,,,826.0,826.0,826.0
Number of Syllables in Document,79,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.44-OUTDOOR_LIGHTING_USING_NATURAL_GAS.txt"")",358,358.0,358,358.0,,358,358,,,358.0,358.0,358.0
Number of Syllables in Document,80,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.48-SOLID_WASTE_DISPOSAL.txt"")",677,677.0,677,677.0,,677,677,,,677.0,677.0,677.0
Number of Syllables in Document,81,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.50-UNIFIED_PROGRAM.txt"")",7835,7835.0,7835,7835.0,,7835,7835,,,7835.0,7835.0,7835.0
Number of Syllables in Document,82,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_12-ENVIRONMENTAL_PROTECTION-Chapter_12.52-HAZARDOUS_WASTE_CONTROL.txt"")",6535,6535.0,6535,6535.0,,6535,6535,,,6535.0,6535.0,6535.0
