Number of documents in corpus,Document ID,Document,Number of Sentences in Document,Number of Words in Document,Number of Syllables in Document,Word1,Frequency1,Word2,Frequency2,Word3,Frequency3,Word4,Frequency4,Word5,Frequency5,Word6,Frequency6,Word7,Frequency7,Word8,Frequency8,Word9,Frequency9,Word10,Frequency10,Word11,Frequency11,Word12,Frequency12,Word13,Frequency13,Word14,Frequency14,Word15,Frequency15,Word16,Frequency16,Word17,Frequency17,Word18,Frequency18,Word19,Frequency19,Word20,Frequency20
987,11,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.23-NUISANCE_ABATEMENT_ORDINANCE.txt"")",44,772,1284,",",61,.,44,the,38,of,33,and,22,to,21,or,20,in,17,any,17,2013,14,a,14,-,13,public,13,be,13,for,12,County,12,shall,12,(,12,),12,Ord.,11
987,12,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.24-GENERAL_PENALTY*.txt"")",24,359,598,of,24,the,17,",",16,.,14,ordinance,12,this,11,any,9,:,7,in,7,or,7,a,7,Ord.,7,for,7,violation,7,violations,7,and,6,as,5,provided,5,§,5,fine,5
987,13,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_1-GENERAL_PROVISIONS-Chapter_1.25-ADMINISTRATIVE_FINES_AND_NONCOMPLIANCE_FEES_FOR_CODE_VIOLATIONS.txt"")",170,4123,7194,the,416,of,241,",",202,.,168,to,123,and,99,or,97,),91,a,89,administrative,88,shall,65,in,64,hearing,63,fine,62,notice,61,responsible,58,officer,56,fee,53,for,51,noncompliance,49
987,14,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.04-GENERAL_PROVISIONS*.txt"")",42,464,690,",",32,.,30,1,22,Ord.,20,the,19,§,19,),17,(,16,of,14,to,14,:,13,-,12,and,11,in,8,4729,8,is,8,9454,7,by,7,this,6,be,6
987,15,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.08-DEFINITIONS.txt"")",143,1592,2371,",",175,.,109,Ord.,76,§,76,"""",70,(,63,),63,the,55,-,52,or,48,:,41,of,33,1,33,a,31,animal,28,2,27,means,26,for,26,and,26,any,22
987,16,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.12-DEPARTMENT_OF_ANIMAL_CARE_AND_CONTROL*.txt"")",164,2354,3738,",",188,the,117,or,106,.,96,Ord.,87,§,87,of,82,and,68,:,64,to,52,1,48,(,40,),40,any,40,-,38,shall,32,animal,31,director,31,in,26,3,25
987,17,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.16-DEPARTMENT_OF_ANIMAL_CARE_AND_CONTROL_VOLUNTEER_PROGRAM.txt"")",35,515,827,",",33,the,31,.,30,and,26,of,25,Ord.,17,§,17,-,16,:,13,(,12,),12,shall,11,volunteer,10,in,10,department,8,program,8,this,8,animal,7,1,7,be,7
987,18,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.20-DOGS_AND_CATS*.txt"")",406,6081,9064,the,389,",",347,.,266,or,265,of,237,Ord.,172,§,171,dog,155,:,137,to,137,),124,(,123,a,123,and,120,-,94,shall,92,be,78,cat,76,license,73,part,73
987,19,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.28-OTHER_LICENSES.txt"")",208,3339,5128,the,241,",",240,.,164,of,130,or,103,Ord.,85,§,85,license,85,to,74,a,67,:,66,),63,in,63,(,62,and,50,any,44,shall,39,such,39,part,36,1,35
987,20,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.32-ANIMALS_RUNNING_AT_LARGE.txt"")",59,1026,1516,",",101,or,65,the,45,of,38,.,37,Ord.,31,§,31,to,25,:,24,(,23,),23,any,21,such,20,person,16,at,14,large,14,part,14,in,13,animal,13,-,12
987,21,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.36-IMPOUNDMENT*.txt"")",200,3009,4548,",",216,the,189,.,130,of,120,or,114,Ord.,96,§,96,:,67,to,65,(,64,),64,animal,56,such,53,-,52,shall,48,any,46,1,46,dog,46,director,38,and,37
987,22,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.37-POTENTIALLY_DANGEROUS_AND_VICIOUS_DOGS.txt"")",181,3957,6334,the,339,or,202,",",194,.,157,of,149,dog,145,to,130,a,95,be,78,and,71,owner,68,custodian,67,),60,shall,59,(,56,is,50,The,46,by,43,in,39,Ord.,38
987,23,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.39-RODEOS.txt"")",12,198,298,the,16,of,13,and,12,.,10,",",6,for,5,A,4,department,4,shall,4,rules,4,events,4,:,3,purpose,3,to,3,with,3,in,3,conduct,3,rodeos,3,regulations,3,any,3
987,24,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_1-ANIMAL_CONTROL-Chapter_10.40-GENERAL_REQUIREMENTS.txt"")",172,3764,6006,",",233,the,196,.,173,or,153,of,152,and,103,to,86,be,81,shall,80,a,73,animal,66,(,60,),60,in,47,animals,45,any,41,for,39,:,33,facility,31,not,31
987,25,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_2-ANIMAL_HEALTH.txt"")",246,4701,7380,",",392,of,269,the,247,.,154,or,150,to,131,Ord.,129,§,125,and,119,(,95,),95,animals,86,any,81,-,79,:,76,1,70,for,66,be,65,such,65,shall,60
987,26,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_10-ANIMALS-Division_3-MISCELLANEOUS_REGULATIONS.txt"")",187,2272,3539,.,145,",",139,the,107,of,97,or,63,§,49,(,48,),48,:,46,a,41,Ord.,41,and,39,-,38,to,38,license,34,in,27,1,26,animal,25,for,25,dogs,23
987,27,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.02-GENERAL_PROVISIONS_AND_DEFINITIONS.txt"")",171,2609,4077,",",244,.,120,the,118,or,117,of,113,and,75,1,61,Ord.,59,§,59,to,56,-,54,"""",50,any,45,(,44,),44,Part,39,in,38,a,36,1959,35,:,34
987,28,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.04-COMMUNICABLE_DISEASE_CONTROL.txt"")",255,7151,11735,the,499,",",498,of,338,or,318,.,255,to,198,in,139,and,134,a,131,shall,124,any,110,such,90,director,88,by,87,be,78,health,73,person,67,Ord.,61,animal,61,is,60
987,29,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.06-PERMITS_AND_SPECIAL_SERVICE_FEES.txt"")",9,89,122,",",8,of,5,and,5,-,4,:,4,.,4,Ord.,4,§,4,to,3,schedule,2,public,2,health,2,time,2,rules,2,regulations,2,for,2,the,2,Title,2,(,2,2006,2
987,30,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.08-CHILDREN'S_CAMPS.txt"")",58,783,1150,",",56,.,48,shall,25,or,24,and,23,of,18,be,18,the,15,-,13,children,13,for,13,in,13,'s,12,is,12,to,12,a,12,Ord.,12,§,12,camp,11,(,11
987,31,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.10-FOOD_DEMONSTRATORS.txt"")",82,831,1203,",",69,.,55,food,32,Ord.,29,§,29,(,27,),27,the,25,and,25,or,24,shall,24,be,24,of,20,-,17,:,17,13,14,1,14,part,14,1964,14,8588,13
987,32,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.11-WHOLESALE_FOOD_SAFETY_CERTIFICATION.txt"")",97,1687,2931,",",100,.,95,the,83,food,68,of,65,and,49,to,34,or,28,(,28,),28,shall,28,safety,27,certificate,26,a,25,Ord.,25,§,22,be,22,for,21,:,18,in,18
987,33,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.12-WHOLESALE_FOOD_ESTABLISHMENTS.txt"")",391,8688,14002,",",778,.,394,or,329,the,307,and,282,of,262,be,212,shall,209,food,205,in,166,to,156,a,142,for,114,"""",108,(,106,),105,that,85,-,82,is,82,;,70
987,34,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.13-INDEPENDENT_WHOLESALE_VEHICLES.txt"")",49,968,1596,",",81,.,53,the,45,food,37,shall,36,be,34,of,32,or,32,and,22,vehicle,18,a,15,for,15,to,14,at,14,wholesale,12,-,11,(,11,),11,that,10,with,10
987,35,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.14-FOOD_VENDING_MACHINES.txt"")",15,230,384,",",20,.,11,the,10,-,8,or,8,of,8,vending,7,3,6,machines,5,"""",4,food,4,(,4,Ord.,4,),4,shall,4,to,4,that,4,director,4,means,3,machine,3
987,36,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.15-NONSMOKING_AREAS_IN_EATING_ESTABLISHMENTS.txt"")",23,472,733,",",33,.,23,the,17,to,16,of,15,in,14,be,11,such,11,and,10,(,10,),10,any,10,which,9,eating,9,for,9,is,9,shall,9,or,8,establishment,8,-,7
987,37,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.16-GARBAGE_AND_OTHER_WASTE_MATERIAL.txt"")",62,940,1485,",",104,or,57,.,42,of,31,any,25,the,23,-,22,and,22,in,22,Ord.,17,§,17,shall,15,(,14,),14,a,13,to,12,not,12,7583,11,Part,11,3,11
987,38,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.19-ALCOHOLIC_BEVERAGE_WARNING_SIGNS.txt"")",22,499,769,the,31,",",28,or,21,.,20,to,16,be,12,public,12,of,10,shall,9,by,8,(,8,),8,sign,8,as,8,-,7,alcoholic,7,beverages,7,in,7,is,7,at,7
987,39,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.20-HOUSING.txt"")",281,3948,5909,",",325,.,226,or,125,of,119,the,112,and,101,shall,92,a,88,be,78,-,70,§,69,Ord.,68,(,65,),64,to,64,in,61,for,60,room,43,3,41,any,41
987,40,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.24-INSTITUTIONS*.txt"")",299,4062,6031,",",306,.,212,of,137,shall,127,or,121,the,117,and,117,be,93,),87,(,86,Ord.,69,-,68,§,68,in,65,for,62,a,60,Part,55,3,47,1959,46,7583,43
987,41,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.26-LAUNDRIES.txt"")",40,676,1023,.,33,",",31,or,28,shall,27,and,25,be,23,the,22,of,19,in,17,laundry,16,for,12,a,9,articles,9,(,8,Ord.,8,§,8,),8,any,8,-,7,All,7
987,42,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.28-LEAD_HAZARDS.txt"")",41,749,1208,",",94,or,40,of,34,the,28,.,26,-,20,any,17,to,16,lead,13,in,13,(,13,),13,"""",12,and,12,Ord.,12,by,11,§,11,as,10,a,10,for,8
987,43,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.30-RODENT_AND_PEST_CONTROL.txt"")",49,768,1193,",",67,or,52,.,34,the,31,of,25,to,19,Ord.,17,§,17,in,15,such,14,-,13,as,13,and,13,(,13,),13,be,12,is,12,any,11,:,10,shall,10
987,44,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.32-SWIMMING_POOLS_AND_OTHER_WATER_AREAS.txt"")",167,2703,4098,",",180,.,141,the,94,of,91,and,75,shall,73,be,66,to,61,or,57,a,55,(,45,),45,Ord.,41,in,39,§,39,pool,37,-,31,for,31,swimming,31,:,28
987,45,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.34-SWIMMING_POOL_SERVICES.txt"")",194,2399,3934,",",177,.,113,the,111,of,91,§,84,Ord.,82,and,65,:,62,or,52,(,51,),51,to,50,shall,41,pool,37,swimming,36,certification,34,for,33,director,30,-,29,a,29
987,46,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.35-TOBACCO_RETAILING.txt"")",134,2658,4532,",",158,the,153,.,134,of,116,or,92,a,89,to,66,tobacco,56,license,54,any,50,for,45,be,41,this,37,shall,36,and,35,in,35,-,31,chapter,30,),29,(,28
987,47,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.38-WATER_AND_SEWERS.txt"")",524,8760,13751,",",674,the,444,.,411,or,301,of,278,and,219,shall,204,be,183,to,169,a,165,Ord.,139,§,139,(,131,),131,water,130,-,123,in,103,for,99,:,80,well,77
987,48,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_1-HEALTH_CODE-Chapter_11.39-ADULT_FILMS;_SHORT_TITLE_AND_PUBLIC_POLICY.txt"")",124,2798,4655,",",176,the,167,of,136,.,115,or,87,to,85,any,53,a,53,in,50,this,46,by,45,adult,40,chapter,37,and,37,shall,32,department,32,(,30,),30,be,27,-,26
987,49,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_2-GENERAL_HAZARDS.txt"")",360,5652,8323,",",426,.,288,the,255,of,234,),173,or,173,(,171,Ord.,133,§,133,-,130,and,116,:,97,in,95,a,93,1,84,to,82,shall,76,"""",74,part,73,be,70
987,50,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.58-ELECTRICAL_MATERIALS_AND_APPLIANCES.txt"")",85,1684,2981,",",131,or,80,.,74,the,74,of,63,to,44,and,44,electrical,39,for,34,by,31,in,28,chapter,27,any,27,this,26,such,24,(,24,Ord.,24,§,24,),24,-,23
987,51,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.59-INDIGENT_HEALTH_CARE_FACILITIES_UPGRADE.txt"")",28,584,991,",",40,the,36,of,34,.,25,to,20,"""",20,and,18,or,15,(,10,),10,means,10,a,9,-,8,1994,7,structure,7,standards,6,health,6,in,6,with,6,care,5
987,52,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.60-FLOODWAYS_AND_WATER_SURFACE_ELEVATIONS.txt"")",55,613,884,",",140,Ord.,48,§,48,1,46,-,41,Canyon,41,and,39,;,34,407-,19,43,16,:,15,ML2,12,ML1,10,1984,9,ML3,8,1990,7,1983,7,.,6,ML10,6,Creek,6
987,53,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.62-SMALL_DAMS.txt"")",166,3491,5478,the,274,",",187,of,175,.,170,or,137,and,102,to,85,a,71,shall,60,be,54,county,53,engineer,50,by,48,permit,45,for,43,in,42,-,39,any,34,(,33,Ord.,33
987,54,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.64-SMOKING.txt"")",67,1230,1971,",",102,of,60,or,52,.,50,the,50,any,31,a,26,to,25,in,25,is,23,and,19,-,18,smoking,17,this,17,Ord.,17,§,17,not,17,public,15,;,15,Part,14
987,55,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.65-EPHEDRINE,_PSEUDOEPHEDRINE_AND_PHENYLPROPANOLAMINE_RECORDS_AND_STORAGE.txt"")",20,384,584,the,21,",",19,.,19,-,13,of,13,and,10,or,10,to,10,(,10,),10,shall,8,a,8,2007,8,in,7,by,6,The,6,logbook,6,any,5,that,5,not,5
987,56,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.66-MEDICAL_MARIJUANA_PROGRAM_IDENTIFICATION_CARD.txt"")",24,390,713,the,22,",",20,application,19,.,17,of,17,shall,10,and,10,fee,10,(,8,2006,8,),8,as,8,by,8,marijuana,7,program,7,identification,7,card,7,to,7,a,7,Health,7
987,57,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.68-TRANSPORT_OF_HYDROCYANIC_ACID.txt"")",19,536,828,",",36,or,36,of,18,.,18,vehicle,17,such,16,to,15,in,14,be,13,the,13,shall,13,any,12,trailer,11,a,9,and,9,—,8,hydrocyanic,8,acid,8,liquid,7,-,6
987,58,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_3-MISCELLANEOUS_REGULATIONS-Chapter_11.69-METALLIC_BALLOONS.txt"")",17,312,469,.,21,",",15,the,15,or,14,of,8,to,8,balloons,7,shall,7,be,7,and,6,a,6,metallic,5,sign,5,notice,5,power,4,for,4,:,3,in,3,one,3,as,3
987,59,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.70-DEFINITIONS.txt"")",135,1763,2904,",",211,.,92,the,86,of,77,Ord.,61,§,61,"""",60,(,56,),56,or,54,2015,46,:,41,to,39,a,36,and,34,1,33,-,28,any,28,part,28,1983,28
987,60,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.72-GENERAL_PROVISIONS.txt"")",68,885,1426,",",86,the,48,.,43,of,41,and,30,Ord.,29,§,29,(,25,),25,or,25,:,23,2015,16,1,15,shall,14,part,14,1983,14,-,13,to,13,a,13,for,12
987,61,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.74-STANDARDS.txt"")",117,1875,3139,",",143,of,105,the,99,.,90,and,49,be,45,),44,to,43,shall,37,(,37,Ord.,37,§,37,a,36,in,32,:,31,or,28,1,27,facility,25,with,21,containment,21
987,62,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.76-UNAUTHORIZED_RELEASE_OF_HAZARDOUS_SUBSTANCES.txt"")",55,1031,1734,",",73,the,55,of,51,.,43,and,33,release,30,or,22,unauthorized,22,to,20,a,18,in,17,shall,17,is,16,such,15,permittee,14,),14,(,13,Ord.,13,§,13,:,12
987,63,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Municode/LA transfer/10-05-2015_Codes/Title_11-HEALTH_AND_SAFETY-Division_4-UNDERGROUND_STORAGE_OF_HAZARDOUS_MATERIALS-Chapter_11.78-INSPECTIONS_AND_RECORDS.txt"")",49,783,1275,",",58,the,43,.,31,of,31,to,25,(,23,Ord.,23,§,23,),23,or,21,:,18,and,17,shall,16,Director,13,in,12,2015,12,be,11,by,10,with,10,1,10
