SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omitted."
By adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Included/
Not Codified Supp. No.
2010- 6  4- 5-10 Included Supp. No. 9
2021-08  9-20-21 Included Supp. No. 17
2021-09  9-20-21 Omitted Supp. No. 17
2021-10 10-18-21 Omitted Supp. No. 17
2021-11 11- 1-21 Included Supp. No. 17
2021-12 11- 1-21 Omitted Supp. No. 17
2021-13 11-15-21 Included Supp. No. 17
2022-01  5- 2-22 Included Supp. No. 18
2022-02  5- 2-22 Included Supp. No. 18
2022-03  6- 6-22 Omitted Supp. No. 18
2022-004  8-15-22 Omitted Supp. No. 19
2022-005  8-15-22 Omitted Supp. No. 19
2022-006  8-15-22 Included Supp. No. 19
2022-007 10-17-22 Omitted Supp. No. 20
2022-008 11- 7-22 Included Supp. No. 20
2022-009 11- 7-22 Included Supp. No. 20
2022-010 11- 7-22 Included Supp. No. 20
2022-011 11-21-22 Omitted Supp. No. 20
2022-012 12- 5-22 Included Supp. No. 20
2023-01  1-17-23 Included Supp. No. 20
2023-02  1-17-23 Included Supp. No. 20
2023-03  1-17-23 Included Supp. No. 20
2023-04  1-17-23 Included Supp. No. 20
2023-05  1-17-23 Included Supp. No. 20
2023-06  1-17-23 Included Supp. No. 20
2023-07  2-20-23 Included Supp. No. 20
2023-08  2-20-23 Included Supp. No. 20
2023-09  3- 6-23 Omitted Supp. No. 20
