CODE COMPARATIVE TABLE - ORDINANCES IN 2017 CODE
This table gives the location of ordinances and other legislation within the 2017 Code.
EXPAND
Legislation Date Section 2017 Code

§
Ord. of 10-4-1982 10-4-1982 3 1-6
Ord. of 9-8-1998 9-8-1998 1.1 22-90
1.2 22-89
3(42-59) 22-64
3(42-60) 22-65
Ord. of 4-5-2010 4-5-2010 — 44-7
Ord. of 12-6-2010 12-6-2010 1(86-100) 22-181
1(86-101) 22-182
Ord. of 11-7-2011 11-7-2011 82-12 42-10
Ord. of 12-5-2011 12-5-2011 1 28-7
Ord. of 2-6-2012 2-6-2012 2 36-23
Ord. of 11-5-2012 11-5-2012 exh. A(40) 20-28
exh. A(39) 20-27
exh. A(38) 20-26
exh. A(37) 20-25
exh. A(36) 20-24
exh. A(35) 20-23
exh. A(34) 20-22
exh. A(33) 20-21
exh. A(32) 20-20
exh. A(31) 20-19
Ord. of 12-16-2014 12-16-2014 exh. A, § 18-231 10-177
exh. A, § 18-232 10-178
exh. A, § 18-233 10-179
exh. A, § 18-234 10-180
exh. A, § 18-235 10-181
exh. A, § 18-236 10-182
exh. A, § 18-237 10-183
exh. A, § 18-238 10-184
exh. A, § 18-239 10-185
exh. A, § 18-240 10-186
Ord. of 6-15-2015 6-15-2015 exh. A(10.1) 6-1
exh. A(10.2) 6-2
exh. A(10.3) 6-3
exh. A(10.4) 6-4
exh. A(10.5) 6-5
exh. A(10.6) 6-6
exh. A(10.8) 6-7
exh. A(10.11) 6-33
exh. A(10.12) 6-34
exh. A(10.13) 6-35
exh. A(10.14) 6-36
exh. A(10.20) 6-61
exh. A(10.21) 6-62
exh. A(10.22) 6-63
exh. A(10.23) 6-64
exh. A(10.24) 6-65
exh. A(10.25) 6-66
exh. A(10.26) 6-67
exh. A(10.27) 6-68
exh. A(10.28) 6-69
exh. A(10.29) 6-70
exh. A(10.30) 6-71
Ord. of  7- 6-2015 1 6-5
Ord. No. 15-0918-4  9-18-2015 1—7 16-19—16-25
Ord. of  9-18-2015 exh. A(26.1—26.8) 14-19—14-26
exh. A(26.9) 14-47
exh. A(26.10—26.12) 14-27—14-29
exh. A(26.31—26.37) 14-68—14-74
exh. A(26.40) 14-75
Ord. of 11- 2-2015 exh. A(26-51) 14-94
exh. A(26-52) 14-95
Ord. No. 2015-1207 12- 7-2015 1(2-174) 2-151
Ord. No. 16-0606-2  6- 6-2016 1—5 42-11
Ord. No. 16-0606-3  6- 6-2016 1—4 2-2
Ord. No. 2016-0606-4  6- 6-2016 2 6-4
4 6-1
Ord. of 12- 4-2017 1—7       Added Adopting ord., p. xi
Res. No. 18-008  8- 6-2018 1(Exh. A)       Added 2-29
Ord. No. 18-0010  9- 4-2018 1(Exh. A)       Added 30-71—30-73
Ord. No. 19-004  7- 1-2019 1 12-1
Ord. No. 2021-001  5- 3-2021 1 36-1
2, 3 36-23(f), (h)
4       Added 36-23(i)
Ord. No. 21-02  9-13-2021 1—4 40-22—40-25
Ord. No. 2021-04 11- 1-2021 1       Added 22-21(13)
Ord. No. 2021-07 12- 6-2021 1 ch. 6, art. II, tit.
2       Added 6-34(e)
3       Added 6-37
4, 5       Added 6-67, 6-68
      Rnbd 6-67—6-71
      as 6-69—6-73
Ord. No. 2022-09  2- 7-2022 1       Added 6-34(f)
