SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omitted."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Included/
Omitted Supp. No.
15-01-233  1-21-2015 Included 18
15-03-236  3-16-2015 Included 19
15-03-237  3-16-2015 Included 19
15-03-238  3-16-2015 Included 19
15-04-243  4-27-2015 Included 19
15-04-244  4-27-2015 Included 19
15-04-245  4-27-2015 Included 19
15-05-246  5-18-2015 Included 19
15-05-247  5-18-2015 Included 19
15-04-240  4-27-2015 Included 20
15-04-241  4-27-2015 Included 20
15-04-242  4-27-2015 Included 20
15-06-248  6- 1-2015 Included 20
15-06-251  6-15-2015 Included 20
15-08-256  8-17-2015 Included 20
15-10-259 10- 5-2015 Included 21
15-10-261 10-19-2015 Included 21
15-11-263 11-16-2015 Included 21
15-12-265 12-21-2015 Included 21
15-12-266 12-21-2015 Included 21
16-01-267  1- 4-2016 Included 22
16-02-269  2-17-2016 Included 22
16-05-274  5- 2-2016 Included 22
16-05-275  5- 2-2016 Included 22
16-05-276  5-16-2016 Included 22
16-06-277  6-20-2016 Included 23
16-07-278  7-11-2016 Included 23
16-09-281  9- 7-2016 Included 24
16-09-282  9- 7-2016 Included 24
16-09-283  9- 7-2016 Included 24
16-09-284  9- 7-2016 Included 24
16-09-285  9- 7-2016 Included 24
16-09-286  9- 7-2016 Included 24
16-09-289 11-21-2016 Included 24
16-11-290 11-21-2016 Included 24
16-12-291 12- 5-2016 Included 25
16-12-292 12- 5-2016 Included 25
16-12-293 12-19-2016 Included 25
17-01-294  1- 9-2017 Included 25
17-01-295  1-30-2017 Included 26
17-01-296  1-30-2017 Included 26
17-01-297  1-30-2017 Included 26
17-01-298  1-30-2017 Included 26
17-01-299  1-30-2017 Included 26
17-01-300  1-30-2017 Included 26
17-02-301  2-22-2017 Included 26
17-03-302  3- 6-2017 Included 26
17-03-303  3- 6-2017 Included 26
17-03-304  3-20-2017 Included 26
17-03-305  3-20-2017 Included 26
17-04-307  4-10-2017 Included 26
17-04-309  4-24-2017 Included 26
17-04-310  4-24-2017 Included 26
17-04-311  4-24-2017 Included 26
17-04-312  4-24-2017 Included 26
17-04-313  4-24-2017 Included 26
17-04-314  4-24-2017 Included 26
17-05-316  5-15-2017 Included 26
17-06-319  6- 5-2017 Included 27
17-06-320  6- 5-2017 Included 27
17-06-322  6- 5-2017 Included 27
17-06-323  6-19-2017 Included 27
17-07-325  7-24-2017 Included 27
17-09-327  9-13-2017 Included 28
17-11-331 11-20-2017 Included 29
18-01-332  1- 8-2018 Included 29
18-01-333  1- 8-2018 Included 29
18-01-334  1-29-2018 Included 29
18-01-335  1-29-2018 Included 29
18-03-340  3- 5-2018 Included 30
18-03-344  3-19-2018 Included 30
18-03-345  3-19-2018 Included 30
18-04-347  4-23-2018 Included 30
18-04-349  4-23-2018 Included 30
18-05-352  5- 7-2018 Included 31
18-05-354  5-21-2018 Included 31
18-05-355  5-21-2018 Included 31
18-05-356  5-21-2018 Included 31
18-05-357  5-21-2018 Included 31
18-05-358  5-21-2018 Included 31
18-05-359  5-21-2018 Included 31
18-05-360  6- 4-2018 Included 31
18-05-361  6- 4-2018 Included 31
18-05-362  6- 4-2018 Included 31
18-05-363  6- 4-2018 Included 31
18-05-365  6-18-2018 Included 31
18-07-366  7- 9-2018 Included 32
18-08-368  8- 6-2018 Included 32
18-08-371  8-13-2018 Included 32
18-08-372  8-20-2018 Included 32
18-08-373  8-20-2018 Included 32
18-09-374  9-10-2018 Included 32
18-09-375  9-24-2018 Included 32
18-09-376  9-24-2018 Included 32
18-09-377  9-24-2018 Included 32
18-09-380  9-24-2018 Included 32
18-06-480 (Res.)
H.B. No. 710  6-18-2018 Included 33
18-08-370  8- 6-2018 Included 33
18-10-381 10- 8-2018 Included 33
18-10-382 10- 8-2018 Included 33
19-01-387  1-23-2019 Included 33
18-12-385 12-17-2018 Included 34
19-03-389  3-18-2019 Included 34
19-04-390  4- 8-2019 Included 34
19-04-391  4- 8-2019 Included 34
19-04-392  4- 8-2019 Included 34
19-04-393  4-22-2019 Included 34
19-04-394  4-22-2019 Included 34
Act No. 253
H.B. No. 570  5-12-2015 Included 35
19-07-396  7- 8-2019 Included 35
19-07-399  7-22-2019 Included 35
19-08-401  8-12-2019 Included 35
19-11-409 11- 4-2019 Included 35
20-01-413  1-30-2020 Included 35
19-09-402  9- 9-2019 Included 36
19-10-406 10- 7-2019 Included 36
19-10-407 10- 7-2019 Included 36
19-10-408 10-21-2019 Included 36
19-12-411 12-16-2019 Included 36
20-02-413  1-22-2020 Included 36
20-02-414  2- 3-2020 Included 36
20-05-421  5-18-2020 Included 37
20-06-422  6- 1-2020 Included 37
20-06-423  6- 1-2020 Included 37
20-06-424  6- 1-2020 Included 37
20-06-425  6- 1-2020 Included 38
20-06-426  6- 1-2020 Included 38
20-06-427  6- 1-2020 Included 38
20-06-428  6- 1-2020 Included 38
20-06-429  6- 1-2020 Included 38
20-06-430  6- 1-2020 Included 38
20-06-431  6- 1-2020 Included 38
20-06-432  6- 1-2020 Included 38
20-06-433  6- 1-2020 Included 38
20-06-434  6- 1-2020 Included 38
20-07-438  7-20-2020 Included 38
20-08-441  8- 3-2020 Included 38
20-08-443  8-10-2020 Included 38
20-09-445  9- 9-2020 Included 38
20-09-446  9- 9-2020 Included 38
20-09-447  9- 9-2020 Included 38
20-09-448  9- 9-2020 Included 38
20-09-449  9- 9-2020 Included 38
20-09-453  9-21-2020 Included 39
20-09-454  9-21-2020 Included 39
20-10-455 10- 5-2020 Included 39
20-11-457 11- 2-2020 Included 39
20-11-458 11-16-2020 Included 39
20-11-459 11-16-2020 Included 39
20-11-460 11-16-2020 Included 39
20-12-462 12-21-2020 Included 39
21-01-464  1- 4-2021 Included 40
21-02-466  2-17-2021 Included 40
21-02-468  2-17-2021 Included 40
21-03-471  3- 1-2021 Included 40
21-03-472  3- 1-2021 Included 40
21-04-474  4-12-2021 Included 40
21-04-476  4-26-2021 Included 40
21-05-480  5-24-2021 Included 40
21-06-481  6- 7-2021 Included 40
21-06-482  6- 7-2021 Included 40
21-04-475  4-12-2021 Included 41
21-11-491 2021 Included 41
21-11-492 12- 6-2021 Included 41
21-12-493 12-20-2021 Included 41
21-12-494 12-20-2021 Included 41
21-12-495 12-20-2021 Included 41
21-12-496 12-20-2021 Included 41
21-12-500 12-20-2021 Included 41
22-02-501  2- 7-2022 Included 41
22-02-502  2- 7-2022 Included 41
22-02-503  2- 7-2022 Included 41
22-02-504  2- 7-2022 Included 41
22-02-505  2- 7-2022 Included 41
22-02-506  2- 7-2022 Included 41
22-02-507  2- 7-2022 Included 41
22-04-508  4-25-2022 Included 41
22-04-509  4-25-2022 Included 41
22-05-510  5- 2-2022 Included 41
22-05-511  5- 2-2022 Included 41
22-06-512  6- 6-2022 Omitted 41
22-06-513  6- 6-2022 Included 41
22-06-514  6- 6-2022 Included 41
